日期,收盘价,信号,策略日收益,策略累计净值,市场累计净值
2025-05-12,209.95703125,0,0.0,0.8253450179569851,0.8665099027047447
2025-05-13,212.0885772705078,0,0.0,0.8253450179569851,0.8753069681035294
2025-05-14,211.490966796875,1,-0.0,0.8253450179569851,0.8728405806228152
2025-05-15,210.61444091796875,1,-0.0041445074093784395,0.8219243694147688,0.8692230863692177
2025-05-16,210.42520141601562,1,-0.0008985115224213747,0.8211858608982907,0.8684420794105603
2025-05-19,207.9550018310547,1,-0.011739086232724016,0.811545889264112,0.8582473629522336
2025-05-20,206.04258728027344,1,-0.009196290225973569,0.8040826777347434,0.8503546711168484
2025-05-21,201.2914276123047,1,-0.02305911477177236,0.7855412429828639,0.8307462451588522
2025-05-22,200.56431579589844,0,-0.003612234385890978,0.7827036838934256,0.8277453950061395
2025-05-23,194.4983673095703,0,-0.0,0.7827036838934256,0.8027107276677473
2025-05-27,199.41885375976562,0,0.0,0.7827036838934256,0.8230179791555147
2025-05-28,199.62803649902344,0,0.0,0.7827036838934256,0.8238812934916083
2025-05-29,199.15988159179688,0,-0.0,0.7827036838934256,0.8219491797600676
2025-05-30,200.05633544921875,0,0.0,0.7827036838934256,0.8256489184168263
2025-06-02,200.90298461914062,0,0.0,0.7827036838934256,0.8291431090399567
2025-06-03,202.46676635742188,0,0.0,0.7827036838934256,0.835596964639944
2025-06-04,202.01856994628906,0,-0.0,0.7827036838934256,0.8337472212601147
2025-06-05,199.8372039794922,0,-0.0,0.7827036838934256,0.8247445448534269
2025-06-06,203.11419677734375,0,0.0,0.7827036838934256,0.8382689631285615
2025-06-09,200.65394592285156,0,-0.0,0.7827036838934256,0.8281153058975403
2025-06-10,201.869140625,0,0.0,0.7827036838934256,0.833130514184955
2025-06-11,197.99452209472656,0,-0.0,0.7827036838934256,0.8171396454548312
2025-06-12,198.412841796875,0,0.0,0.7827036838934256,0.8188660852041936
2025-06-13,195.67372131347656,0,-0.0,0.7827036838934256,0.8075615101231143
2025-06-16,197.63592529296875,0,0.0,0.7827036838934256,0.8156596870178527
2025-06-17,194.86692810058594,0,-0.0,0.7827036838934256,0.8042318083063064
2025-06-18,195.80320739746094,0,0.0,0.7827036838934256,0.8080959098208378
2025-06-20,200.20574951171875,0,0.0,0.7827036838934256,0.8262655625177111
2025-06-23,200.70376586914062,0,0.0,0.7827036838934256,0.8283209169054438
2025-06-24,199.50851440429688,0,-0.0,0.7827036838934256,0.8233880159954655
2025-06-25,200.76351928710938,0,0.0,0.7827036838934256,0.8285675241663777
2025-06-26,200.20574951171875,1,-0.0,0.7827036838934256,0.8262655625177112
2025-06-27,200.28543090820312,1,0.0003979975434207361,0.7830151980368415,0.8265944141818065
2025-06-30,204.3592529296875,1,0.02034008166750545,0.7989417911118089,0.8434074120721682
2025-07-01,206.99879455566406,1,0.01291618357444646,0.809261069951106,0.8543010170345411
2025-07-02,211.6005401611328,1,0.02223078455769123,0.8272515784481158,0.8732927988916525
2025-07-03,212.70616149902344,1,0.005225040243511225,0.8315740012370154,0.8778557889102299
2025-07-07,209.12039184570312,1,-0.01685785511830029,0.8175554472040165,0.86305702320602
2025-07-08,209.1801300048828,1,0.0002856639596571231,0.8177889933303041,0.8633035674926789
2025-07-09,210.3056640625,1,0.005380692982602575,0.8221892648279661,0.8679487389401426
2025-07-10,211.57066345214844,1,0.00601505145040937,0.8271347755578805,0.8731694952611855
2025-07-11,210.3256072998047,1,-0.005884824162426194,0.8222672328450945,0.868031046317579
